name,manufacturer,price,interfaceType,,formFactor,protocol,capacity,capacityGBs,isNVMe,URL
ADATA LEGEND 860,ADATA,$95.00+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/CxLdnQ/adata-legend-860-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sleg-860-1000gcs
SanDisk WD Blue SN5100,SanDisk,$99.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/YM2j4D/sandisk-wd-blue-sn5100-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t5b0e-00cpe0
Samsung 9100 PRO w/Heatsink,Samsung,$439.40 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/hVWmP6/samsung-9100-pro-wheatsink-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap4t0cam
Intel Optane 905P,Intel,$4500.00+,U.2,,"2.5""",NVMe,1.5 TB,1500,TRUE,https://pcpartpicker.com/product/x9ZFf7/intel-optane-905p-15-tb-25-nvme-solid-state-drive-ssdpe21d015tax1
PNY CS1030,PNY,$89.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/9CjNnQ/pny-cs1030-1-tb-m2-2280-nvme-solid-state-drive-m280cs1030-1tb-rb
Samsung 970 Evo Plus,Samsung,$89.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/BDYLrH/samsung-970-evo-plus-250-gb-m2-2280-nvme-solid-state-drive-mz-v7s250bam
MSI SPATIUM M470 PRO,MSI,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/xt7MnQ/msi-spatium-m470-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-s78-440q990-p83
Kingston NV2,Kingston,$198.77+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/3QXJ7P/kingston-nv2-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s2000g
KingSpec XG7000,KingSpec,$264.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/CX3NnQ/kingspec-xg7000-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-xg-7000-4tb
Western Digital Blue SN550,Western Digital,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/BhmFf7/western-digital-blue-sn550-1-tb-m2-2280-nvme-solid-state-drive-wds100t2b0c
KIOXIA EXCERIA PLUS G3,KIOXIA,$207.41 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/VYqrxr/kioxia-exceria-plus-g3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lsd10z002tg8
Lexar NQ790,Lexar,$267.95 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/4wHqqs/lexar-nq790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnq790x002t-rnnnu
Crucial P5 Plus,Crucial,$212.87 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/VZWzK8/crucial-p5-plus-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000p5pssd8
Silicon Power P34A60,Silicon Power,$56.97 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/94gQzy/silicon-power-p34a60-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-sp512gbp34a60m28
Corsair MP600 ELITE,Corsair,$109.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/Rnqrxr/corsair-mp600-elite-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f1000gbmp600enh
MSI SPATIUM M390,MSI,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/CtBG3C/msi-spatium-m390-1-tb-m2-2280-nvme-solid-state-drive-sm390n1tb
Crucial T500,Crucial,$445.00 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/LLtLrH/crucial-t500-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct4000t500ssd3
Western Digital Blue SN570,Western Digital,$127.00+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/3dvdnQ/western-digital-blue-sn570-1-tb-m2-2280-nvme-solid-state-drive-wds100t3b0c
Lexar NM620,Lexar,$79.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/VHM48d/lexar-nm620-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm620x001t-rnnng
