name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
Intel Core i5-14600KF,Intel,$199.99 ,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,14,20,3.5,5.3,20 MB,24 MB,125,None,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf
AMD Ryzen 7 8700F,AMD,$248.95 ,AMD Ryzen 7,Zen 4,Phoenix 1,AM5,8,16,4.1,5,8 MB,16 MB,65,None,256 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/CsGhP6/amd-ryzen-7-8700f-41-ghz-8-core-processor-100-100001590box
Intel Core i9-12900K,Intel,$293.95 ,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,24,3.2,5.2,14 MB,30 MB,125,Intel UHD Graphics 770,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k
Intel Core i5-12600K,Intel,$184.46 ,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,16,3.7,4.9,9.5 MB,20 MB,125,Intel UHD Graphics 770,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k
AMD Ryzen 7 7800X3D,AMD,$359.99 ,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,4.2,5,8 MB,96 MB,120,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/CzZWGX/amd-ryzen-7-7800x3d-42-ghz-8-core-oemtray-processor-100-000000910
AMD Ryzen 7 5700,AMD,$156.85 ,AMD Ryzen 7,Zen 3,Cezanne,AM4,8,16,3.7,4.6,4 MB,16 MB,65,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/9NFmP6/amd-ryzen-7-5700-37-ghz-8-core-processor-100-000000743box
Intel Core Ultra 5 225F,Intel,$157.97 ,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA1851,10,10,3.3,4.9,22 MB,20 MB,65,None,256 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/pkdMnQ/intel-core-ultra-5-225f-33-ghz-10-core-processor-bx80768225f
AMD Ryzen 5 4500,AMD,$68.00 ,AMD Ryzen 5,Zen 2,Renoir-X,AM4,6,12,3.6,4.1,3 MB,8 MB,65,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box
Intel Core i9-14900KF,Intel,$429.99 ,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2,6,32 MB,36 MB,125,None,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf
Intel Core i3-12100F,Intel,$82.49 ,Intel Core i3,Alder Lake,Alder Lake,LGA1700,4,8,3.3,4.3,5 MB,12 MB,58,None,128 GB,FALSE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f
