name,Price,manufacturer,Socket,Memory Type,Memory Slots,Form Factor,Memory Max,Chipset,Has Wifi,Color,SATA Ports,M.2 Slots,memoryFormFactor,URL
ASRock E3V5 WS,N/A,ASRock,LGA1151,DDR4,4,ATX,64 GB,Intel C232,FALSE,Black / White,6,0,DIMM,https://pcpartpicker.com/product/nrDzK8/asrock-e3v5-ws-atx-lga1151-motherboard-e3v5-ws
ASRock Fatal1ty Z170 Professional Gaming i7,N/A,ASRock,LGA1151,DDR4,4,ATX,64 GB,Intel Z170,FALSE,Black / Red,10,3,DIMM,https://pcpartpicker.com/product/gmrcCJ/asrock-motherboard-z170professionalgamingi7
MSI H110I PRO AC,N/A,MSI,LGA1151,DDR4,2,Mini ITX,32 GB,Intel H110,TRUE,Black / White,4,1,DIMM,https://pcpartpicker.com/product/wTnG3C/msi-motherboard-h110iproac
Asus A88XM-A/USB 3.1,N/A,Asus,FM2+,DDR3,4,Micro ATX,64 GB,AMD A88X,FALSE,Black / Gold,6,0,DIMM,https://pcpartpicker.com/product/TbKhP6/asus-a88xm-ausb-31-micro-atx-fm2-motherboard-a88xm-ausb-31
Asus H110M-E,N/A,Asus,LGA1151,DDR4,2,Micro ATX,32 GB,Intel H110,FALSE,Black / Gold,4,0,DIMM,https://pcpartpicker.com/product/DbKhP6/asus-h110m-e-micro-atx-lga1151-motherboard-h110m-e
Gigabyte GA-Z170X-Designare,N/A,Gigabyte,LGA1151,DDR4,4,ATX,64 GB,Intel Z170,FALSE,Black / Blue,6,1,DIMM,https://pcpartpicker.com/product/8TYWGX/gigabyte-ga-z170x-designare-atx-lga1151-motherboard-ga-z170x-designare
MSI Z170A MPOWER GAMING TITANIUM,N/A,MSI,LGA1151,DDR4,4,ATX,64 GB,Intel Z170,FALSE,Silver / Black,6,2,DIMM,https://pcpartpicker.com/product/ZL98TW/msi-z170a-mpower-gaming-titanium-atx-lga1151-motherboard-z170a-mpower-gaming-titanium
MSI X99A SLI,N/A,MSI,LGA2011-3,DDR4,8,ATX,128 GB,Intel X99,FALSE,Black,10,1,DIMM,https://pcpartpicker.com/product/TYNypg/msi-x99a-sli-atx-lga2011-3-motherboard-x99a-sli
Gigabyte GA-B250M-D3V,N/A,Gigabyte,LGA1151,DDR4,2,ATX,32 GB,Intel B250,FALSE,Black / Gold,6,1,DIMM,https://pcpartpicker.com/product/m6PzK8/gigabyte-ga-b250m-d3v-atx-lga1151-motherboard-ga-b250m-d3v
ASRock Fatal1ty H270M Performance,N/A,ASRock,LGA1151,DDR4,4,Micro ATX,64 GB,Intel H270,FALSE,Black / Red,6,2,DIMM,https://pcpartpicker.com/product/8nM323/asrock-fatal1ty-h270m-performance-micro-atx-lga1151-motherboard-fatal1ty-h270m-performance
EVGA Z270 Classified K,N/A,EVGA,LGA1151,DDR4,4,EATX,64 GB,Intel Z270,FALSE,Black,8,3,DIMM,https://pcpartpicker.com/product/vHbkcf/evga-z270-classified-k-eatx-lga1151-motherboard-134-ks-e279-kr
Asus Z270-WS,N/A,Asus,LGA1151,DDR4,4,ATX,64 GB,Intel Z270,FALSE,Black / Silver,6,2,DIMM,https://pcpartpicker.com/product/D8cMnQ/asus-z270-ws-atx-lga1151-motherboard-z270-ws
Asus PRIME B250M-D,N/A,Asus,LGA1151,DDR4,2,Micro ATX,32 GB,Intel B250,FALSE,Black / Silver,6,1,DIMM,https://pcpartpicker.com/product/GKTrxr/asus-prime-b250m-d-micro-atx-lga1151-motherboard-prime-b250m-d
MSI A68HM GAMING,N/A,MSI,FM2+,DDR3,2,Micro ATX,32 GB,AMD A68H,FALSE,Black / Red,4,1,DIMM,https://pcpartpicker.com/product/DcKhP6/msi-a68hm-gaming-micro-atx-fm2-motherboard-a68hm-gaming
