name,price,manufacturer,interfaceType,requiredPowerConnectors,LengthMm,CaseExpansionSlotWidth,TotalSlotWidth,GraphicsProcessor,VramGBs,MemoryType,CoreClockMHz,BoostClockMHz,TdpWatts,Color,CoolingType,HdmiPortCount,DisplayPortCount,profile,URL
MSI VENTUS 2X OC,$349.99+,MSI,PCIe x16,1 x PCIe 8-pin,235,2,2,GeForce RTX 3060 8GB,8,GDDR6,1320,1807,170,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/pZ4Ycf/msi-ventus-2x-oc-geforce-rtx-3060-8gb-8-gb-video-card-rtx-3060-ventus-2x-8g-oc
MSI VENTUS 2X E OC,$261.02+,MSI,PCIe x16,None,189,2,2,GeForce RTX 3050 6GB,6,GDDR6,1040,1492,70,Black,2 Fans,2,1,Standard,https://pcpartpicker.com/product/sYwD4D/msi-ventus-2x-e-oc-geforce-rtx-3050-6gb-6-gb-video-card-rtx-3050-ventus-2x-e-6g-oc
Zotac GAMING Twin Edge,$259.99 ,Zotac,PCIe x16,1 x PCIe 8-pin,220,2,2,GeForce RTX 5050,8,GDDR6,2317,2572,130,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/Kby8TW/zotac-gaming-twin-edge-geforce-rtx-5050-8-gb-video-card-zt-b50500e-10m
Sapphire PULSE,N/A,Sapphire,PCIe x16,2 x PCIe 8-pin,280,2,3,Radeon RX 7700 XT,12,GDDR6,1700,2544,230,Black / Red,2 Fans,2,2,Standard,https://pcpartpicker.com/product/TxTZxr/sapphire-pulse-radeon-rx-7700-xt-12-gb-video-card-11335-04-20g
Asus ROG STRIX GAMING OC,$835.00+,Asus,PCIe x16,3 x PCIe 8-pin,318,2,3,GeForce RTX 3070 Ti,8,GDDR6X,1575,N/A,290,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/XmLFf7/asus-geforce-rtx-3070-ti-8-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3070ti-o8g-gaming
Inno3D X3,N/A,Inno3D,PCIe x16,1 x PCIe 16-pin 12VHPWR,300,2,2,GeForce RTX 5080,16,GDDR7,2295,2617,360,Black / Silver,3 Fans,1,3,Standard,https://pcpartpicker.com/product/zyXMnQ/inno3d-x3-geforce-rtx-5080-16-gb-video-card-n50803-16d7-176068n
EVGA BLACK GAMING,$845.00+,EVGA,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,270,2,2,GeForce RTX 2080 SUPER,8,GDDR6,1650,1815,250,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/fpbCmG/evga-geforce-rtx-2080-super-8-gb-black-gaming-video-card-08g-p4-3081-kr
AMD 50th Anniversary,N/A,AMD,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,272,2,2,Radeon RX 5700 XT,8,GDDR6,1680,1980,235,Gold / Black,1 Fan,1,3,Standard,https://pcpartpicker.com/product/xW4Zxr/amd-50th-anniversary-radeon-rx-5700-xt-8-gb-video-card-102-d18206
MSI VENTUS XS OC,$260.28 ,MSI,PCIe x16,None,170,2,2,GeForce GTX 1650 G5,4,GDDR5,1485,1740,75,Black / White,2 Fans,1,1,Standard,https://pcpartpicker.com/product/THYLrH/msi-geforce-gtx-1650-4-gb-ventus-xs-oc-video-card-geforce-gtx-1650-ventus-xs-4g-oc
Asus DUAL OC,$695.00+,Asus,PCIe x16,2 x PCIe 8-pin,267,2,3,GeForce RTX 3070,8,GDDR6,1500,N/A,220,Black,2 Fans,2,3,Standard,https://pcpartpicker.com/product/NhzFf7/asus-geforce-rtx-3070-8-gb-dual-oc-video-card-dual-rtx3070-o8g
