name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
be quiet! Pure Power 9,N/A,be quiet!,ATX,1,2,0,0,6,160,0,0,0,3,500,80+ Silver,Semi,N/A,FALSE,https://pcpartpicker.com/product/JjZ2FT/be-quiet-power-supply-bn267
KOLINK Modular Power,N/A,KOLINK,ATX,1,4,0,0,6,160,0,0,0,2,700,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/pmcgXL/kolink-modular-power-700-w-80-bronze-certified-semi-modular-atx-power-supply-kl-700mv2
Cougar VTX,N/A,Cougar,ATX,1,2,0,0,7,140,0,0,0,4,700,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/4btQzy/cougar-vtx-700w-80-bronze-certified-atx-power-supply-vtx700
KOLINK KL-500,N/A,KOLINK,ATX,1,2,0,0,4,150,0,0,0,3,500,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/pDHqqs/kolink-kl-500-500-w-80-bronze-certified-atx-power-supply-kl-500
Sparkle R-FSP400-60ETN,N/A,Sparkle,ATX,1,1,0,0,4,140,0,0,0,2,400,80+ Platinum,No,N/A,FALSE,https://pcpartpicker.com/product/VHckcf/sparkle-power-supply-rfsp40060etn
SHARKOON SilentStorm Icewind,N/A,SHARKOON,ATX,1,4,0,0,9,160,0,0,0,3,750,80+ Bronze,Semi,White / Black,FALSE,https://pcpartpicker.com/product/DNm323/sharkoon-silentstorm-icewind-750-w-80-bronze-certified-semi-modular-atx-power-supply-silentstorm-icewind-750-watt
Thermaltake Toughpower Grand,N/A,Thermaltake,ATX,2,6,0,0,12,180,0,0,0,8,850,80+ Gold,No,N/A,FALSE,https://pcpartpicker.com/product/KJ4gXL/thermaltake-power-supply-tpg850m
Antec High Current Gamer,N/A,Antec,ATX,1,2,0,0,6,160,0,0,0,6,520,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/CmMFf7/antec-power-supply-hcg520
EVGA SuperNOVA 1000 G1,N/A,EVGA,ATX,2,6,0,0,9,199,0,2,0,6,1000,80+ Gold,Full,N/A,FALSE,https://pcpartpicker.com/product/gBsKHx/evga-supernova-1000-g1-1000-w-80-gold-certified-fully-modular-atx-power-supply-120-g1-1000-vr
Thermaltake Toughpower,N/A,Thermaltake,ATX,1,4,0,0,12,140,0,0,0,4,650,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/3wGkcf/thermaltake-toughpower-650-w-80-gold-certified-semi-modular-atx-power-supply-ps-tpd-0650mpcgus-1
